test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
     50 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.80731E-13 -1.09550E-13  3.46571E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.59829E-10 -1.59829E-10 -1.59850E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.77451E+02  5.36624E+02
     51 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.70810E-13 -1.04174E-13  3.19629E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.54373E-10 -1.54375E-10 -1.54399E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.80525E+02  5.43255E+02
     52 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.58420E-13 -9.70749E-14  2.89395E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.48860E-10 -1.48863E-10 -1.48890E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.83419E+02  5.49566E+02
     53 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.43703E-13 -8.83313E-14  2.56266E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.43303E-10 -1.43308E-10 -1.43338E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.86145E+02  5.55574E+02
     54 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.26826E-13 -7.80493E-14  2.20656E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.37719E-10 -1.37725E-10 -1.37758E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.88715E+02  5.61294E+02
     55 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.07984E-13 -6.63576E-14  1.82985E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.32120E-10 -1.32129E-10 -1.32165E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.91137E+02  5.66739E+02
     56 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -8.73921E-14 -5.34037E-14  1.43669E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.26522E-10 -1.26534E-10 -1.26571E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.93422E+02  5.71923E+02
     57 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -6.52816E-14 -3.93498E-14  1.03117E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.20939E-10 -1.20952E-10 -1.20991E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.95578E+02  5.76861E+02
     58 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -4.18983E-14 -2.43688E-14  6.17242E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.15513E-10 -1.15529E-10 -1.15570E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.97614E+02  5.81564E+02
     59 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.74969E-14 -8.63985E-15  1.98730E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.10230E-10 -1.10248E-10 -1.10289E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.99536E+02  5.86044E+02
     60 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  7.66168E-15  7.65449E-15 -2.20731E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -1.05004E-10 -1.05024E-10 -1.05066E-10  1.38070E-06  1.38070E-06  1.38070E-06  6.01353E+02  5.90314E+02
     61 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  3.33111E-14  2.43308E-14 -6.37650E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -9.98279E-11 -9.98490E-11 -9.98909E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.03070E+02  5.94383E+02
     62 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  5.91825E-14  4.12079E-14 -1.04870E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -9.47029E-11 -9.47252E-11 -9.47669E-11  1.38070E-06  1.38070E-06  1.38070E-06  6.04693E+02  5.98261E+02
