Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
     140  0.00000E+00  2.25859E+007  0.00000E+000  1.90637E-001 -6.99423E-016 -3.19567E-015  3.53546E+002  3.14006E+001 -6.00203E-016  8.80378E-016
     141  0.00000E+00  2.25859E+007  0.00000E+000  1.90865E-001  1.98694E-015  1.39286E-014  3.53295E+002  3.14112E+001 -2.93258E-015  1.30556E-015
     142  0.00000E+00  2.25859E+007  0.00000E+000  1.91084E-001 -1.86200E-016  3.37476E-015  3.53048E+002  3.14216E+001  8.71362E-016  2.26050E-016
     143  0.00000E+00  2.25859E+007  0.00000E+000  1.91294E-001 -4.60035E-016 -5.90380E-015  3.52806E+002  3.14320E+001  1.64517E-015  2.45251E-016
     144  0.00000E+00  2.25859E+007  0.00000E+000  1.91497E-001  1.88258E-015  1.29384E-014  3.52569E+002  3.14422E+001 -2.97963E-015  3.16392E-016
     145  0.00000E+00  2.25859E+007  0.00000E+000  1.91689E-001  1.99491E-015 -3.67463E-015  3.52336E+002  3.14524E+001 -7.09459E-016  5.54891E-016
     146  0.00000E+00  2.25859E+007  0.00000E+000  1.91875E-001  1.23847E-015 -7.36936E-015  3.52108E+002  3.14627E+001 -3.38902E-016  6.20420E-016
     147  0.00000E+00  2.25859E+007  0.00000E+000  1.92055E-001 -1.34678E-015  8.81683E-016  3.51886E+002  3.14732E+001 -3.88245E-016  2.24597E-016
     148  0.00000E+00  2.25859E+007  0.00000E+000  1.92230E-001  2.70047E-015  7.22276E-015  3.51669E+002  3.14838E+001 -1.21666E-015  6.47431E-016
     149  0.00000E+00  2.25859E+007  0.00000E+000  1.92402E-001  1.64028E-015 -4.33470E-014  3.51457E+002  3.14946E+001 -7.95716E-016  7.96653E-016
     150  0.00000E+00  2.25859E+007  0.00000E+000  1.92569E-001 -1.22334E-016 -8.56703E-015  3.51251E+002  3.15056E+001 -1.07216E-015  1.07328E-015
     151  0.00000E+00  2.25859E+007  0.00000E+000  1.92733E-001  2.34167E-015  1.16724E-014  3.51050E+002  3.15166E+001 -1.60995E-016  9.48998E-016
     152  0.00000E+00  2.25859E+007  0.00000E+000  1.92892E-001  1.96700E-015 -1.49942E-015  3.50855E+002  3.15276E+001  6.00762E-016  9.73623E-016
     153  0.00000E+00  2.25859E+007  0.00000E+000  1.93045E-001  9.64146E-016 -1.27453E-014  3.50665E+002  3.15387E+001 -6.92871E-016  8.86682E-016
     154  0.00000E+00  2.25860E+007  0.00000E+000  1.93193E-001 -2.99912E-015  1.50441E-016  3.50481E+002  3.15498E+001 -5.10915E-015  9.24116E-016
     155  0.00000E+00  2.25860E+007  0.00000E+000  1.93336E-001 -1.38092E-015  8.63771E-015  3.50303E+002  3.15610E+001 -3.02613E-015  1.34762E-015
     156  0.00000E+00  2.25860E+007  0.00000E+000  1.93472E-001  1.47963E-015 -5.43978E-015  3.50129E+002  3.15723E+001 -2.08931E-015  1.02024E-015
     157  0.00000E+00  2.25860E+007  0.00000E+000  1.93601E-001 -1.76513E-015 -1.94072E-014  3.49961E+002  3.15837E+001  9.21235E-016  7.28710E-016
     158  0.00000E+00  2.25860E+007  0.00000E+000  1.93722E-001 -3.40827E-015  5.45829E-016  3.49798E+002  3.15950E+001  4.47374E-016  7.80264E-016
     159  0.00000E+00  2.25860E+007  0.00000E+000  1.93835E-001 -2.32277E-015  1.62735E-015  3.49641E+002  3.16065E+001 -2.58670E-015  7.86436E-016
     160  0.00000E+00  2.25860E+007  0.00000E+000  1.93939E-001 -4.51336E-017 -1.45187E-014  3.49488E+002  3.16180E+001 -2.43758E-015  9.87992E-016
     161  0.00000E+00  2.25860E+007  0.00000E+000  1.94033E-001 -2.69964E-015  3.08313E-014  3.49341E+002  3.16295E+001  7.68146E-016  3.52046E-016
