Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
   3150  5.03840E+03  1.60000E+000  1.00000E+000 -7.03672E-006 -1.80623E-006 -1.31967E-005  1.00000E+000 -2.63678E-018 -4.87891E-021  1.44659E-003  1.02269E-003 -1.91404E-003  1.73591E-009  1.74720E-002  1.00000E-002  3.08473E-007  1.63905E-006 -4.56015E-006  1.50238E-002  9.76253E-003  1.02399E-002
   3200  5.11840E+03  1.60000E+000  1.00000E+000 -7.35405E-006 -1.97516E-006 -1.29629E-005  1.00000E+000 -1.15186E-017 -5.96311E-021  1.61522E-003  8.35321E-004 -1.34801E-003  1.78967E-009  1.74668E-002  1.00000E-002  4.96897E-007  1.75151E-006 -4.76610E-006  1.50297E-002  9.76483E-003  1.02376E-002
   3250  5.19840E+03  1.60000E+000  1.00000E+000 -7.72018E-006 -2.12253E-006 -1.28401E-005  1.00000E+000 -1.26288E-017 -7.86047E-021  1.75833E-003  6.28559E-004 -7.62964E-004  2.66637E-009  1.74616E-002  1.00000E-002  7.04394E-007  1.83952E-006 -4.90013E-006  1.50362E-002  9.76727E-003  1.02353E-002
   3300  5.27840E+03  1.60000E+000  1.00000E+000 -8.14129E-006 -2.24341E-006 -1.28699E-005  1.00000E+000 -1.40166E-017 -4.74338E-021  1.86941E-003  4.05378E-004 -1.68292E-004  2.28123E-009  1.74566E-002  1.00000E-002  9.27301E-007  1.90090E-006 -4.96082E-006  1.50432E-002  9.76980E-003  1.02330E-002
   3350  5.35840E+03  1.60000E+000  1.00000E+000 -8.60539E-006 -2.33684E-006 -1.29085E-005  1.00000E+000 -1.38778E-017 -2.87991E-022  1.94255E-003  1.68932E-004  4.26500E-004  2.45220E-009  1.74517E-002  1.00000E-002  1.16136E-006  1.93378E-006 -4.94610E-006  1.50503E-002  9.77237E-003  1.02309E-002
   3400  5.43840E+03  1.60000E+000  1.00000E+000 -9.10567E-006 -2.40143E-006 -1.30090E-005  1.00000E+000 -1.15186E-017 -2.43945E-021  1.97252E-003 -7.71141E-005  1.01191E-003  1.21781E-009  1.74471E-002  1.00000E-002  1.40156E-006  1.93675E-006 -4.85705E-006  1.50574E-002  9.77484E-003  1.02289E-002
   3450  5.51840E+03  1.60000E+000  1.00000E+000 -9.64052E-006 -2.43389E-006 -1.31021E-005  1.00000E+000 -7.63278E-018 -7.65718E-021  1.95508E-003 -3.28957E-004  1.57865E-003  1.87442E-009  1.74430E-002  1.00000E-002  1.64224E-006  1.90889E-006 -4.69471E-006  1.50642E-002  9.77675E-003  1.02270E-002
   3500  5.59840E+03  1.60000E+000  1.00000E+000 -1.01904E-005 -2.42257E-006 -1.33422E-005  1.00000E+000 -9.71445E-018 -1.01644E-021  1.88710E-003 -5.82367E-004  2.11776E-003  3.17856E-009  1.74392E-002  1.00000E-002  1.87746E-006  1.84985E-006 -4.46351E-006  1.50703E-002  9.77820E-003  1.02253E-002
   3550  5.67840E+03  1.60000E+000  1.00000E+000 -1.07538E-005 -2.37247E-006 -1.36803E-005  1.00000E+000 -1.23512E-017 -5.82759E-021  1.76675E-003 -8.33187E-004  2.62075E-003  3.88125E-009  1.74360E-002  1.00000E-002  2.10081E-006  1.75964E-006 -4.16693E-006  1.50757E-002  9.77886E-003  1.02238E-002
   3600  5.75840E+03  1.60000E+000  1.00000E+000 -1.13146E-005 -2.29312E-006 -1.40404E-005  1.00000E+000 -9.29812E-018 -1.12486E-020  1.59356E-003 -1.07723E-003  3.07970E-003  4.09286E-009  1.74332E-002  1.00000E-002  2.30584E-006  1.63875E-006 -3.80922E-006  1.50801E-002  9.77915E-003  1.02226E-002
   3650  5.83840E+03  1.60000E+000  1.00000E+000 -1.18577E-005 -2.18291E-006 -1.45036E-005  1.00000E+000 -1.38778E-018 -1.12486E-020  1.36852E-003 -1.31014E-003  3.48745E-003  4.09936E-009  1.74310E-002  1.00000E-002  2.48614E-006  1.48831E-006 -3.39713E-006  1.50832E-002  9.77923E-003  1.02219E-002
   3700  5.91840E+03  1.60000E+000  1.00000E+000 -1.23803E-005 -2.03755E-006 -1.49910E-005  1.00000E+000 -1.94289E-018 -1.29596E-021  1.09419E-003 -1.52783E-003  3.83768E-003  2.97202E-009  1.74292E-002  1.00000E-002  2.63542E-006  1.31002E-006 -2.93669E-006  1.50850E-002  9.77900E-003  1.02215E-002
   3750  5.99840E+03  1.60000E+000  1.00000E+000 -1.28599E-005 -1.85806E-006 -1.56183E-005  1.00000E+000 -4.99600E-018 -7.11508E-021  7.74550E-004 -1.72616E-003  4.12501E-003  4.46725E-009  1.74280E-002  1.00000E-002  2.74795E-006  1.10601E-006 -2.43658E-006  1.50854E-002  9.77836E-003  1.02211E-002
