LOS table - Multiple Instruments: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 10
200 14
0.0
l10T l10ne AIA:94 AIA:131 AIA:171 AIA:193 AIA:211 AIA:304 AIA:335 XRT:Al-mesh XRT:Al-poly XRT:Ti-poly
6.59296e+00 5.00000e+00 8.66936e-02 5.09248e-02 1.30048e-01 5.58983e-01 3.70901e-01 1.63554e-02 2.56826e-01 1.34654e+01 1.47143e+01 6.22974e+00
6.61055e+00 5.00000e+00 1.01363e-01 5.00014e-02 1.21106e-01 5.62027e-01 3.37956e-01 1.52811e-02 2.36647e-01 1.44572e+01 1.58539e+01 6.76752e+00
6.62814e+00 5.00000e+00 1.17480e-01 4.94613e-02 1.10140e-01 5.68731e-01 3.05773e-01 1.46417e-02 2.16759e-01 1.54767e+01 1.70256e+01 7.32402e+00
6.64572e+00 5.00000e+00 1.34985e-01 4.95247e-02 9.85949e-02 5.73249e-01 2.73762e-01 1.43517e-02 1.97401e-01 1.65188e+01 1.82238e+01 7.89733e+00
6.66331e+00 5.00000e+00 1.53744e-01 5.03925e-02 8.75393e-02 5.71367e-01 2.42254e-01 1.43059e-02 1.78743e-01 1.75765e+01 1.94410e+01 8.48498e+00
6.68090e+00 5.00000e+00 1.73521e-01 5.23962e-02 7.76076e-02 5.59387e-01 2.11945e-01 1.43748e-02 1.60894e-01 1.86407e+01 2.06676e+01 9.08367e+00
6.69849e+00 5.00000e+00 1.93951e-01 5.60653e-02 6.90591e-02 5.34939e-01 1.83580e-01 1.44090e-02 1.43917e-01 1.96991e+01 2.18907e+01 9.68896e+00
6.71608e+00 5.00000e+00 2.14506e-01 6.22195e-02 6.19239e-02 4.97924e-01 1.57866e-01 1.42683e-02 1.27834e-01 2.07366e+01 2.30939e+01 1.02951e+01
6.73366e+00 5.00000e+00 2.34458e-01 7.20857e-02 5.61932e-02 4.52332e-01 1.35560e-01 1.39111e-02 1.12609e-01 2.17335e+01 2.42561e+01 1.08944e+01
6.75125e+00 5.00000e+00 2.52864e-01 8.74484e-02 5.17560e-02 4.03009e-01 1.16900e-01 1.33635e-02 9.82130e-02 2.26667e+01 2.53519e+01 1.14776e+01
6.76884e+00 5.00000e+00 2.68571e-01 1.10719e-01 4.84529e-02 3.53933e-01 1.01629e-01 1.26795e-02 8.46410e-02 2.35068e+01 2.63494e+01 1.20324e+01
6.78643e+00 5.00000e+00 2.80249e-01 1.44904e-01 4.61385e-02 3.07930e-01 8.92285e-02 1.19231e-02 7.19207e-02 2.42176e+01 2.72083e+01 1.25423e+01
6.80401e+00 5.00000e+00 2.86476e-01 1.93314e-01 4.46929e-02 2.66767e-01 7.90462e-02 1.11551e-02 6.01019e-02 2.47550e+01 2.78793e+01 1.29864e+01
6.82160e+00 5.00000e+00 2.86345e-01 2.59238e-01 4.40332e-02 2.31063e-01 7.06848e-02 1.04180e-02 4.93187e-02 2.50965e+01 2.83366e+01 1.33525e+01
6.83919e+00 5.00000e+00 2.80098e-01 3.46048e-01 4.40929e-02 2.00792e-01 6.36749e-02 9.72320e-03 3.97727e-02 2.52765e+01 2.86185e+01 1.36568e+01
