XRT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne Ti-poly Al-poly
6.59296e+00 5.53846e+00 6.22974e+00 1.47143e+01
6.61055e+00 5.53846e+00 6.76752e+00 1.58539e+01
6.62814e+00 5.53846e+00 7.32402e+00 1.70256e+01
6.64572e+00 5.53846e+00 7.89733e+00 1.82238e+01
6.66331e+00 5.53846e+00 8.48498e+00 1.94410e+01
6.68090e+00 5.53846e+00 9.08367e+00 2.06676e+01
6.69849e+00 5.53846e+00 9.68896e+00 2.18907e+01
6.71608e+00 5.53846e+00 1.02951e+01 2.30939e+01
6.73366e+00 5.53846e+00 1.08944e+01 2.42561e+01
6.75125e+00 5.53846e+00 1.14776e+01 2.53519e+01
6.76884e+00 5.53846e+00 1.20324e+01 2.63494e+01
6.78643e+00 5.53846e+00 1.25423e+01 2.72082e+01
6.80401e+00 5.53846e+00 1.29864e+01 2.78793e+01
6.82160e+00 5.53846e+00 1.33525e+01 2.83366e+01
6.83919e+00 5.53846e+00 1.36568e+01 2.86184e+01
6.85678e+00 5.53846e+00 1.39139e+01 2.87608e+01
6.87437e+00 5.53846e+00 1.41291e+01 2.87809e+01
6.89195e+00 5.53846e+00 1.42946e+01 2.86705e+01
6.90954e+00 5.53846e+00 1.43881e+01 2.83944e+01
6.92713e+00 5.53846e+00 1.44083e+01 2.79642e+01
6.94472e+00 5.53846e+00 1.43762e+01 2.74349e+01
6.96231e+00 5.53846e+00 1.43025e+01 2.68384e+01
6.97989e+00 5.53846e+00 1.41857e+01 2.61809e+01
6.99748e+00 5.53846e+00 1.40117e+01 2.54437e+01
7.01507e+00 5.53846e+00 1.37601e+01 2.45976e+01
7.03266e+00 5.53846e+00 1.34393e+01 2.36641e+01
7.05025e+00 5.53846e+00 1.30640e+01 2.26739e+01
7.06783e+00 5.53846e+00 1.26414e+01 2.16413e+01
7.08542e+00 5.53846e+00 1.21706e+01 2.05660e+01
7.10301e+00 5.53846e+00 1.16439e+01 1.94360e+01
7.12060e+00 5.53846e+00 1.10622e+01 1.82544e+01
7.13819e+00 5.53846e+00 1.04543e+01 1.70695e+01
7.15577e+00 5.53846e+00 9.84317e+00 1.59175e+01
7.17336e+00 5.53846e+00 9.24347e+00 1.48185e+01
7.19095e+00 5.53846e+00 8.66362e+00 1.37819e+01
7.20854e+00 5.53846e+00 8.10807e+00 1.28104e+01
7.22613e+00 5.53846e+00 7.58413e+00 1.19116e+01
7.24371e+00 5.53846e+00 7.10031e+00 1.10949e+01
7.26130e+00 5.53846e+00 6.66021e+00 1.03624e+01
7.27889e+00 5.53846e+00 6.26397e+00 9.71101e+00
7.29648e+00 5.53846e+00 5.90965e+00 9.13472e+00
7.31407e+00 5.53846e+00 5.59395e+00 8.62606e+00
7.33165e+00 5.53846e+00 5.31185e+00 8.17541e+00
7.34924e+00 5.53846e+00 5.05845e+00 7.77359e+00
7.36683e+00 5.53846e+00 4.82998e+00 7.41367e+00
7.38442e+00 5.53846e+00 4.62347e+00 7.09019e+00
7.40200e+00 5.53846e+00 4.43651e+00 6.79873e+00
7.41959e+00 5.53846e+00 4.26710e+00 6.53576e+00
7.43718e+00 5.53846e+00 4.11322e+00 6.29771e+00
7.45477e+00 5.53846e+00 3.97306e+00 6.08149e+00
7.47236e+00 5.53846e+00 3.84503e+00 5.88440e+00
7.48994e+00 5.53846e+00 3.72769e+00 5.70407e+00
7.50753e+00 5.53846e+00 3.59785e+00 5.45794e+00
7.52512e+00 5.53846e+00 3.49909e+00 5.30860e+00
7.54271e+00 5.53846e+00 3.40711e+00 5.16965e+00
7.56030e+00 5.53846e+00 3.32081e+00 5.03944e+00
7.57788e+00 5.53846e+00 3.23932e+00 4.91663e+00
7.59547e+00 5.53846e+00 3.16186e+00 4.80004e+00
7.61306e+00 5.53846e+00 3.08774e+00 4.68857e+00
7.63065e+00 5.53846e+00 3.01692e+00 4.58221e+00
7.64824e+00 5.53846e+00 2.94917e+00 4.48052e+00
7.66582e+00 5.53846e+00 2.88436e+00 4.38331e+00
7.68341e+00 5.53846e+00 2.82238e+00 4.29034e+00
7.70100e+00 5.53846e+00 2.76308e+00 4.20137e+00
7.71859e+00 5.53846e+00 2.70632e+00 4.11621e+00
7.73618e+00 5.53846e+00 2.65204e+00 4.03475e+00
7.75376e+00 5.53846e+00 2.60017e+00 3.95688e+00
7.77135e+00 5.53846e+00 2.55058e+00 3.88240e+00
7.78894e+00 5.53846e+00 2.50312e+00 3.81109e+00
7.80653e+00 5.53846e+00 2.45758e+00 3.74262e+00
7.82412e+00 5.53846e+00 2.41400e+00 3.67708e+00
7.84170e+00 5.53846e+00 2.37219e+00 3.61417e+00
7.85929e+00 5.53846e+00 2.33205e+00 3.55375e+00
7.87688e+00 5.53846e+00 2.29347e+00 3.49567e+00
7.89447e+00 5.53846e+00 2.25634e+00 3.43975e+00
7.91206e+00 5.53846e+00 2.22055e+00 3.38585e+00
7.92964e+00 5.53846e+00 2.18614e+00 3.33401e+00
7.94723e+00 5.53846e+00 2.15317e+00 3.28431e+00
7.96482e+00 5.53846e+00 2.12164e+00 3.23675e+00
7.98241e+00 5.53846e+00 2.09154e+00 3.19130e+00
8.00000e+00 5.53846e+00 2.06281e+00 3.14787e+00
4.50000e+00 6.07692e+00 1.39641e-11 2.08389e-09
4.51758e+00 6.07692e+00 3.31475e-11 4.61498e-09
4.53517e+00 6.07692e+00 7.69815e-11 1.00342e-08
4.55276e+00 6.07692e+00 1.75133e-10 2.14384e-08
4.57035e+00 6.07692e+00 3.89793e-10 4.49363e-08
4.58793e+00 6.07692e+00 8.47373e-10 9.22371e-08
4.60552e+00 6.07692e+00 1.79960e-09 1.85397e-07
4.62311e+00 6.07692e+00 3.72602e-09 3.64206e-07
4.64070e+00 6.07692e+00 7.51631e-09 6.98689e-07
4.65829e+00 6.07692e+00 1.47719e-08 1.30876e-06
4.67587e+00 6.07692e+00 2.83177e-08 2.39632e-06
4.69346e+00 6.07692e+00 5.30520e-08 4.29660e-06
4.71105e+00 6.07692e+00 9.73659e-08 7.56074e-06
4.72864e+00 6.07692e+00 1.74885e-07 1.30448e-05
4.74623e+00 6.07692e+00 3.06591e-07 2.20031e-05
4.76381e+00 6.07692e+00 5.23183e-07 3.61805e-05
4.78140e+00 6.07692e+00 8.66728e-07 5.78366e-05
4.79899e+00 6.07692e+00 1.39044e-06 8.96436e-05
4.81658e+00 6.07692e+00 2.15480e-06 1.34364e-04
4.83417e+00 6.07692e+00 3.21761e-06 1.94260e-04
4.85175e+00 6.07692e+00 4.61854e-06 2.70220e-04
4.86934e+00 6.07692e+00 6.35750e-06 3.60746e-04
4.88693e+00 6.07692e+00 8.37293e-06 4.61092e-04
4.90452e+00 6.07692e+00 1.05269e-05 5.62932e-04
