Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   32   20       -0.9604654560       -0.4608840707
   32   21       -0.0737212701       -0.2728914394
   32   22        0.1666750784       -0.1949875708
   32   23        0.7897146477       -0.0083392657
   32   24        0.2845536955       -0.4185498372
   32   25        0.3031682584       -0.0356629333
   32   26        0.5657378596        0.0784791280
   32   27        0.7348597332        0.0915802283
   32   28        0.2124732970        0.5806500831
   32   29        0.4400137591        0.9199128889
   32   30       -0.0279053449        0.2595824504
   32   31        0.5164691936        0.3462874927
   32   32        0.1247101954        0.3263992598
   33    0        0.2227818772        0.0000000000
   33    1       -0.2422789572        0.3235589623
   33    2        0.0777023092       -0.0366930734
   33    3       -0.2063641498       -0.0459040370
   33    4        0.0287635324        0.4765900224
   33    5       -0.0555097464        0.0772614920
   33    6       -0.0605847780        0.1898254000
   33    7        0.0303056276        0.3973025744
   33    8        0.3458048423       -0.1473541578
   33    9       -0.1630983653       -0.1719188308
   33   10        0.8255813712        0.2635942719
   33   11       -0.0619155078       -0.2761611270
   33   12        0.3519486480        0.1221141655
   33   13        0.3223715708       -0.1499876781
   33   14       -0.1704726034       -0.1413273731
   33   15       -0.1362352363        0.1490636725
   33   16       -0.0614460953       -0.5685741851
   33   17       -0.3057616250        0.1332036304
   33   18        0.0742070996       -0.0467010784
   33   19       -0.0865174765       -0.0469884628
   33   20        0.3232647338        0.2065993776
   33   21        0.5906222465       -0.0405102815
   33   22        0.1566255281       -0.1218946463
   33   23        0.4906916084        0.0523750589
   33   24        0.0407829922        0.5571094003
   33   25       -0.0137789475        0.1029963259
   33   26       -0.3307316590        0.1407100426
   33   27       -0.3594064618        0.4598847292
   33   28       -0.4534199824        0.1055685442
   33   29       -0.9879893592       -0.3449750478
   33   30       -0.2174761318       -0.3095051101
   33   31       -0.0973194830       -0.5556746137
   33   32       -0.5647935622       -0.5203592243
   33   33       -0.7629021375       -0.1874616472
   34    0       -0.3073872830        0.0000000000
   34    1       -0.1974832774        0.1211793437
   34    2        0.2208352718        0.3505988662
   34    3        0.0946022460        0.0776685025
   34    4       -0.5060923909       -0.4648294754
   34    5        0.1425376062        0.1175230204
   34    6       -0.2746869111       -0.3523269721
   34    7        0.1003757624        0.1525635318
   34    8        0.4031606602       -0.0196448288
   34    9        0.0232536198        0.2063284562
   34   10        0.1821214684       -0.0100402354
   34   11       -0.2408940807       -0.1146907926
   34   12        0.1894310543        0.4766143265
   34   13        0.3053719410       -0.4449484910
   34   14       -0.6030066268       -0.0976214979
   34   15        0.1430504591       -0.9828090839
   34   16       -0.3859783767       -0.2896874731
   34   17        0.6793308852        0.5518264950
   34   18       -0.3657360751        0.1592707916
   34   19       -0.0919804234        0.5115378653
   34   20        0.3178557225       -0.4638707912
   34   21        0.0239774149        0.2141884582
   34   22       -0.2023907052        0.1011014622
   34   23       -0.1131842051        0.1082864153
   34   24       -0.6980613757        0.0836815176
   34   25       -0.1448065208       -0.5282710827
   34   26       -0.3108334617        0.1615845295
   34   27        0.2335984992       -0.6542914312
   34   28       -0.0900049263       -0.5440735247
   34   29        0.3007114806       -0.1539273079
   34   30        0.1510122958       -0.1703136391
   34   31        0.2593456725       -0.4740878526
   34   32        0.7177627957        0.1925546095
   34   33        0.6935290271       -0.6999984288
   34   34        0.1032073657        0.1187938872
   35    0       -0.6162251635        0.0000000000
   35    1       -0.0795902045        0.3746923304
   35    2        0.3197623743       -0.4159814986
   35    3       -0.6366939167       -0.1236706993
   35    4       -0.3133974551       -0.2048374001
   35    5       -0.2080261839        0.0068085510
   35    6       -0.4737112068        0.2881410450
   35    7        0.2818011811       -0.0513154527
   35    8       -0.2665130486        0.1607468564
   35    9        0.2343506874       -0.2695967773
   35   10        0.3419738119       -0.1041593913
